user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
F8cwqTYpZzXvTtELOmDGmVDQxtYkiW21zcP0Gl2T,5,0,390,390,2
fATTBTwYyLdgJU4QDNbtkAq200xqxaKsfMUrafYd,1,3,240,240,2
FbfykpOrZH7d3ySpvxeorkluCZ6QPuH5K1uF3UUg,2,0,150,150,1
FRx1Y6dShKoidT5fAYbES5r2bew5YYR5fGP2Jrq2,1,0,60,60,2
fthTIsM26hSGNWT1QjqDQLtrJ0a8QARfiLRqoSI5,1,1,90,90,2
G4LzuxmIreO0yBdfHqojy1xOPNhcugcLbHpoXq8W,1,0,60,60,1
G63HQV8kZXVK4M2MUqKnuVQsbRJ6bqHoXBzMQxZ0,0,0,60,60,1
gduGzUvQDYDEtEqJFU1FR5ZMjZCrZK3inJkOpvvx,4,0,180,180,2
gFwCHQFsOydd4UL1pBhgBS1APSJ3bzvgLio2ZsB8,11,0,780,780,-1
gHWsq75muIGSHlCOvsLRqkuBXhh6J6ds6K43VI72,4,1,330,330,-1
GLPX5xZDw8QvCZ57PJP6mRVqhO7yaZ3NrpBpQmuJ,1,0,90,90,2
gOuhADw8jfY7MQ68zVLFbVXjYNMW4t48OeZIPVWY,0,0,30,30,-1
GTgma3juKrDNVuyO6zQeztqXh7GZI0U7G8i5403G,1,1,120,120,1
GuLdOoh8j7qDjXAK1Pc84wsXyMtjvL5Rf7TAZeGb,2,0,120,120,-1
Gx3RDqIuICroOUQ6SQgEyNXCxvyo40u8haFBY10g,2,1,120,120,1
Gzzpo8tl2DlAvGzf7RtW05cMez0hP28emwmC70Ju,3,0,180,180,-1
H12O3IshgNDo7jJlUraF1UCtBDdvCTGu4AETkb1e,1,0,150,120,2
hb4ObORwat5bLQAvnNCF1pwYxfzSE0jnHJDcXfCM,1,0,60,60,2
hFzCiOsVchk7lDEGKYnZD26A6NwFIAnorZO1sUhn,3,0,150,150,-1
hgisCDc7bKpnHqhDSeo1bhDw0OGU8dSraR3U7E4d,2,0,150,150,2
HKROp3nv48IwRoKP5j0nXswoY6yvNbHagkc3PRsu,0,0,30,30,2
HPQ1hDYBNi8T1LAFoozopxfphfZ2AuDE1pnhw8s3,8,0,540,540,2
hRKm8idKG4suWEL6a8XitJf4clvZXqJ84Oqh2hgv,0,0,0,0,2
i00PbprdRF7EodHxZYJAxfg3ByuqLMwnzNCZZH5N,1,0,120,120,1
i0aLaKZ3qCAJg7VJzNFbZoHq4uwqDsNAJQqgu0zW,1,3,90,90,-1
IhhcXbeoJ4TWYCSQem8Q5mBeLEvksTovSaBjV7j2,9,1,750,750,-1
ilAljVkIaI31np2srtjMe1ANd0rhFNJ1AY7X5azq,0,0,30,30,2
