user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
bTNFC2iGJYegOAj8g1FE5kLa8PVY3tkonINXwJ1q,1,0,90,90,2
BVcdpgmsyPomSg6nN2GnKSwbhTVHhF1KFnB1Ime1,1,0,60,60,2
BvgifeSc64kXEoxw3zX5VjNqxtnJnj0YpoVl2fhE,2,0,210,210,1
c1ElfBOgxAxzikan5FGt46WIbdaJANgwSIM7fAqN,3,0,240,240,2
C2J6fLpeyhIsPi7XKVUtlEMskfxAvkRC0wDC3BNB,1,0,90,90,2
c4PsUNShq0TslBXjC3kqnN2VPlyn3ZULXDYAqWIH,2,0,90,90,1
cA8G3HoGIz0hCtbKN68nfM6B41KcfYcQURipO0uG,3,0,960,360,2
Cemr1xdHxkMYYdoikRDVs3ceQBDxxpcQ6u4eHs4u,1,0,90,90,1
cEsKaBuOBXBP7FCKm1Bsqsskx7gfkekFNjLIeHMb,5,0,210,210,1
cffcHPUMbFlOAlEI1llgEYLQkSE8dMQohqVt4iTM,2,0,90,90,1
Chbv8njgMdmHLHSEjBkHBnMLjeSyXhSTn5gSOLkQ,2,0,240,240,1
CJdg3e4SJ2bl2QblEprTh78O82PiYcSXwtzmhXyi,0,0,30,30,2
CJLpgIBPDkUHLI2oKIYhXUEtzuCP67FzxtDbIacT,4,0,690,570,1
cKoPxcxYMl4HzYAxMSJ8sWelBc5Hbiz0aYLE37RM,1,0,90,90,1
CL85P7x7hmwO0Ptdgkqb8iKlvZRIvKlUiT5RFI2k,4,0,870,660,2
CmAqykWXaYSjYxURiN6xlkB3OWuuptJmv0G1gwit,0,0,30,30,1
CoksT66dBqOjOlhlk83rXMxYaIsVxJNeHtQdjVFp,3,0,300,270,2
CoT8qAnbge5quvZtQSAcK8umrTyPyBAQt1Lc6ynQ,15,0,810,810,1
Cpdxz6KLToPsJ1tjIgMP568HWgZrLPHt1vB3ou6l,3,0,150,150,2
cskUOWjP36HZuvxxRO3s6w4kSaVowMFUkd5wrcVq,2,0,120,120,1
cuvRAdJcF8ytTKl5qQlTjMT5MwLqB1I0LU7lDPUH,2,1,120,120,2
cvBwqZCigQOkFVQSjQl8ZOud4wVkaWAIvBoZmbcz,6,0,240,240,2
CvS5HqaJ3gUSP0D1yNlI0hdRFofI8fC0LBHZPwqa,0,0,0,0,1
Cw01fkHrZYMzJkGrdWFlGDwqnrvTh7NEH7kViSPa,3,0,180,180,1
Cw8z7tMbxYUQTMyUkxL3PJ1iCLSsLtn3BRZDOZd1,1,0,60,60,2
CwZLNRmpUu7o8x7SnzTModqkrY7AEPZvmEqMc6iQ,7,0,720,720,2
d05i5Puk6dLPAu56XEMGvAH3m6gbyRtnscwDQLwE,10,7,660,660,1
d0sTwDmdKVfJ8r3RtO4HhOmIqWhZTEFIfBX3Ddb7,2,0,60,60,1
d4a8du573RLjJW7XRMmRH3Yien5ybUqzVhx6c8nx,1,0,90,90,1
d4ilwAUSKip6B0mXXG0ECsTkxUKbVZqHQGOnWdGX,0,0,0,0,2
D7Yc0GGodPyze7OrMw3VFyocFjZgeVPiTkebU4j4,9,1,13140,600,1
DdbNzXl6ADTHA0Qk0DdyPcHdilBjiJRKopXuayEC,2,0,150,150,1
dEhDgKRh6VvpHv4hS1tRRnOwwpC57AmudtQplUCm,1,0,1350,150,2
dGDZRv7E6ZblKecC5vUQijT640SsQ6lxKvpdKAOr,6,0,180,180,2
DKWSBr00z0HjqTSbLVGHmO546lz80zZlmyc1dLvX,6,0,240,240,2
dL56MSX86Zv2uhyOkTjfc0R1ARNCjq1xGNRZyWiP,0,0,30,30,1
DLSw1DINbcELQ1shtrjC6kUQcYRdUqPYfmWiIFFs,1,0,60,60,1
dQBO8ylu1mcw5gT4At3LPn2oD6HfzJ8wTmHWxTfH,3,0,150,150,1
DRinBWk12QBKHglJHD8VqTN02V7H0zpAKcg67uXO,5,6,180,180,1
dRRBZx7Mh2p12qKxKu6ZkNzzxA1FCZFlouWbdHvg,1,0,60,60,1
DsoCEv0WeZOqMJ5ZNGdRL4pqVlyU8PocRiGzVktw,10,0,810,810,1
DTPIoLvJ55H1IsJF7qd0vqHv6PgYVJogcfEM3jfm,0,0,30,30,2
dxecLl7wQke01ANunOkSZ2RbFaxocNPwLz3g2mRF,4,0,330,330,1
DXfXhOEToaZuDdDWSx7cXGU4ZrpgU1BvwwHpZA0e,24,0,1410,1410,2
Dy5pdFRSoXLuT5jav0dk7Yf8W6b82HzdDGCqoN2x,16,0,990,990,2
E3OgmjbhqHEPKTqLOAU3IDII8ilLj8baeEnRL0Zw,1,0,60,60,2
e3QlOWCLVAvmuYuYup5mKOI3ZvcuZgqjs82XYxSs,1,0,60,60,1
e6AW6V2xbNQmKnF5yLXOf7BTixqZNcwuTdbYNRA2,0,0,30,30,1
ea3i73xdRXUq6BvnkttVDXe8qNxYegXQ2UAPe46g,4,0,300,300,1
ecwFVDP15XrscwK2dLFKOAaUoF4QPqWg8vdDKIWk,4,0,240,240,2
eDAnt0CvpkvP8VPGg86cOv3DOMaog2KuSqVlNejt,1,0,60,60,2
eEh6RJJQPmbfoKq0evo6hIFZJMRRqqs8kJTcyllG,1,0,30,30,1
eEMaNh5qIJKBnFHTnmo0xGxtaDJTBtcjha0ftTHk,0,0,0,0,2
efWZNwdMeOPVR1ELMJZ5FWaBjlAWCTaDepgkj85U,2,0,90,90,1
Egn62qzxi7F75rdiVsNxmJ7tJNMDuy834anFktEV,19,0,1140,1140,1
EJjexxl8QjIWdjfiRcMDW3ks8SGmR4fKK7IuRBrZ,9,0,660,660,2
eJTCg8PBBAOlXLCFZkcjGEReS0LXqFnHQgGmTCy8,1,0,90,90,1
EkvrHo6hykYSv1zKr5sLpAcfoOqHU1mxycYqcxcj,0,0,30,30,2
EPTiVeVNIxc6hWzDNZhljDqWN8fbwLfYALAdnJ8j,4,0,360,360,2
ERr1tTZsCgb0YsmLWudh5tD6TRPMXGKjPgW0rwY7,4,0,150,150,2
EtuSlulkGHMKbBMOs0Z8NXxdA5IB4RnH1vd6s7jT,5,0,330,330,1
eTutkoxgrI88vUBd6S3oevu8v51PphgwgYugVWF8,8,0,960,960,1
f4S3daOAzBQg0zThwW4aQmvECzxZL8xM4xh0uRHl,7,0,390,390,1
F8htacSObnSgwFLQbtg16SPddQjwQUk8prZhVUOG,12,1,1470,990,2
fanQappKZ0LNHCphizui06NxGMCaxkZOktVtnF70,1,0,60,60,1
Fe63omGfE7rZXONjDvylkOlgCyFgk0qoxAv38R7F,5,0,330,330,1
FeLAqsygLdpL7uT6hQ2HTgwaLvIcOnFP2Kdq2UDX,8,0,360,360,2
